Date,Value
1952-11-03,86.2
1952-11-04,86.2
1952-11-05,86.2
1952-11-06,86.2
1952-11-07,86.2
1952-11-10,86.2
1952-11-11,86.2
1952-11-12,86.2
1952-11-13,86.2
1952-11-14,86.2
1952-11-17,86.2
1952-11-18,86.2
1952-11-19,86.2
1952-11-20,86.2
1952-11-21,86.2
1952-11-24,86.2
1952-11-25,86.2
1952-11-26,86.2
1952-11-27,86.2
1952-11-28,86.2
1952-12-01,86.2
1952-12-02,86.2
1952-12-03,86.2
1952-12-04,86.2
1952-12-05,86.2
1952-12-08,86.2
1952-12-09,86.2
1952-12-10,86.2
1952-12-11,86.2
1952-12-12,86.2
1952-12-15,86.2
1952-12-16,86.2
1952-12-17,86.2
1952-12-18,86.2
1952-12-19,86.2
1952-12-22,86.2
1952-12-23,86.2
1952-12-24,86.2
1952-12-25,86.2
1952-12-26,86.2
1952-12-29,86.2
1952-12-30,86.2
1952-12-31,86.2
1953-01-01,86.2
1953-01-02,86.2
1953-01-05,86.2
1953-01-06,86.2
1953-01-07,86.2
1953-01-08,86.2
1953-01-09,86.2
1953-01-12,86.2
1953-01-13,86.2
1953-01-14,86.2
1953-01-15,86.2
1953-01-16,86.2
1953-01-19,86.2
1953-01-20,86.2
1953-01-21,86.2
1953-01-22,86.2
1953-01-23,86.2
1953-01-26,86.2
1953-01-27,86.2
1953-01-28,86.2
1953-01-29,86.2
1953-01-30,86.2
1953-02-02,90.7
1953-02-03,90.7
1953-02-04,90.7
1953-02-05,90.7
1953-02-06,90.7
1953-02-09,90.7
1953-02-10,90.7
1953-02-11,90.7
1953-02-12,90.7
1953-02-13,90.7
1953-02-16,90.7
1953-02-17,90.7
1953-02-18,90.7
1953-02-19,90.7
1953-02-20,90.7
1953-02-23,90.7
1953-02-24,90.7
1953-02-25,90.7
1953-02-26,90.7
1953-02-27,90.7
1953-03-02,90.7
1953-03-03,90.7
1953-03-04,90.7
1953-03-05,90.7
1953-03-06,90.7
1953-03-09,90.7
1953-03-10,90.7
1953-03-11,90.7
1953-03-12,90.7
1953-03-13,90.7
1953-03-16,90.7
1953-03-17,90.7
1953-03-18,90.7
1953-03-19,90.7
1953-03-20,90.7
1953-03-23,90.7
1953-03-24,90.7
1953-03-25,90.7
1953-03-26,90.7
1953-03-27,90.7
1953-03-30,90.7
1953-03-31,90.7
1953-04-01,90.7
1953-04-02,90.7
1953-04-03,90.7
1953-04-06,90.7
1953-04-07,90.7
1953-04-08,90.7
1953-04-09,90.7
1953-04-10,90.7
1953-04-13,90.7
1953-04-14,90.7
1953-04-15,90.7
1953-04-16,90.7
1953-04-17,90.7
1953-04-20,90.7
1953-04-21,90.7
1953-04-22,90.7
1953-04-23,90.7
1953-04-24,90.7
1953-04-27,90.7
1953-04-28,90.7
1953-04-29,90.7
1953-04-30,90.7
1953-05-01,90.7
1953-05-04,90.7
1953-05-05,90.7
1953-05-06,90.7
1953-05-07,90.7
1953-05-08,90.7
1953-05-11,90.7
1953-05-12,90.7
1953-05-13,90.7
1953-05-14,90.7
1953-05-15,90.7
1953-05-18,90.7
1953-05-19,90.7
1953-05-20,90.7
1953-05-21,90.7
1953-05-22,90.7
1953-05-25,90.7
1953-05-26,90.7
1953-05-27,90.7
1953-05-28,90.7
1953-05-29,90.7
1953-06-01,90.7
1953-06-02,90.7
1953-06-03,90.7
1953-06-04,90.7
1953-06-05,90.7
1953-06-08,90.7
1953-06-09,90.7
1953-06-10,90.7
1953-06-11,90.7
1953-06-12,90.7
1953-06-15,90.7
1953-06-16,90.7
1953-06-17,90.7
